year;Process;currency;source;cap-lo;cap-up;max-grad;min-fraction;inv-cost;fix-cost;var-cost;start-cost;wacc;depreciation;lifetime;reliability;cap-credit;area-per-cap;act-up;act-lo;on-off;reserve-cost;ru;rd;rumax;rdmax;detail;lambda;heatmax;maxdeltaT;heatupcost;su;sd;pdt;hotstart;pot;pretemp;preheat;prestate;prepow;precaponline;year_mu;year_stdev
2020_old;Geothermal;EUR;unclear;0;0;0,6;0;4970000;79520;0;0;0,07;30;30;;;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1990;8
2020_old;Hydro;EUR;unclear;0;0;inf;0;5600000;84000;5;0;0,07;60;60;;;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1970;4
2020_old;Hydro_Large;EUR;unclear;0;0;inf;0;5600000;84000;5;0;0,07;60;60;;;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1970;4
2020_old;Hydro_Small;EUR;unclear;0;0;inf;0;5600000;84000;5;0;0,07;60;60;;;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1990;8
2020_old;Lignite;EUR;unclear;0;0;0,6;0,4;2000000;50000;4,5;90;0,07;40;40;;;0;1;0,45;1;0;0,02;0,02;1;1;5;0,04;0,12;1;130;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2020_old;Lignite_CHP;EUR;unclear;0;0;0,6;0,4;2537500;101500;5;90;0,07;35;35;;;0;1;0,45;1;0;0,02;0,02;1;1;5;0,04;0,12;1;130;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2020_old;Liquid biofuels;EUR;unclear;0;0;3;0;850000;21250;2;40;0,07;30;30;;;0;1;0,4;1;0;0,05;0,05;1;1;5;0,3;1;1;20;0,7;0,7;0;0;0;1;0;1;0;0;2000;5
2020_old;Nuclear;EUR;unclear;0;0;0,3;0,5;4350000;91350;2,5;1000;0,07;60;60;;;0;1;0,45;1;0;0,04;0,04;1;1;5;0,03;0,1;1;100;0,45;0,45;0;0;0;1;0;1;0;0;1970;4
2020_old;OilOther;EUR;unclear;0;0;3;0,12;850000;21250;2;40;0,07;30;30;;;0;1;0,4;1;0;0,05;0,05;1;1;5;0,3;1;1;20;0,7;0,7;0;0;0;1;0;1;0;0;1990;8
2020_old;OilOther_CHP;EUR;unclear;0;0;3;0,12;1078438;43138;4;40;0,07;30;30;;;0;1;0,4;1;0;0,05;0,05;1;1;5;0,3;1;1;20;0,7;0,7;0;0;0;1;0;1;0;0;1990;8
2020_old;Shunt;EUR;unclear;0;999999;inf;0;0;0;0;0;0,07;1;999;;;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2020;0
2020_old;Slack;EUR;unclear;0;999999;inf;0;0;0;0;0;0,07;1;999;;;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2020;0
2020_old;Solar;EUR;unclear;0;inf;inf;0;800000;13600;0;0;0,07;25;25;;;14000;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2009;2
2020_old;Tidal;EUR;unclear;0;0;inf;0;4400000;149600;0;0;0,07;20;20;;;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2009;2
2020_old;Waste;EUR;unclear;0;0;1,2;0;5630000;168900;7;0;0,07;25;25;;;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2000;5
2020_old;WindOff;EUR;unclear;0;inf;inf;0;2880000;92160;0;0;0,07;25;25;;;125000;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2009;2
2020_old;WindOn;EUR;unclear;0;inf;inf;0;1350000;32400;0;0;0,07;25;25;;;125000;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2006;3
2030_old;Bioenergy;EUR;unclear;0;0;1,2;0,2;2370000;52140;3,5;0;0,07;25;25;;;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2000;5
2030_old;Biogas;EUR;unclear;0;0;4,8;0,79;850000;21250;2;40;0,07;30;30;;;0;1;0,3;1;0;0,05;0,05;1;1;5;0,1;0,2;1;60;0,5;0,5;0;0;0;1;0;1;0;0;2000;5
2030_old;Biomass;EUR;unclear;0;0;1,2;0,2;2370000;52140;3,5;0;0,07;25;25;;;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2000;5
2030_old;Coal;EUR;unclear;0;0;0,6;0,4;1600000;40000;3,6;90;0,07;40;40;;;0;1;0,4;1;0;0,03;0,03;1;1;5;0,06;0,15;1;110;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2030_old;Coal_CHP;EUR;unclear;0;0;0,6;0,4;2030000;60900;5;90;0,07;35;35;;;0;1;0,4;1;0;0,03;0,03;1;1;5;0,06;0,15;1;110;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2030_old;Gas;EUR;unclear;0;inf;4,8;0,2;850000;21250;2;40;0,07;30;30;;;0;1;0,3;1;0;0,05;0,05;1;1;5;0,1;0,2;1;60;0,5;0,5;0;0;0;1;0;1;0;0;1990;8
2030_old;Gas_CHP;EUR;unclear;0;0;4,8;0,2;990000;38610;4;40;0,07;30;30;;;0;1;0,3;1;0;0,05;0,05;1;1;5;0,1;0,2;1;60;0,5;0,5;0;0;0;1;0;1;0;0;1990;8
2030_old;Geothermal;EUR;unclear;0;0;0,6;0;4470000;80460;0;0;0,07;30;30;;;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1990;8
2030_old;Hydro;EUR;unclear;0;0;inf;0;5620000;84300;5;0;0,07;60;60;;;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1970;4
2030_old;Hydro_Large;EUR;unclear;0;0;inf;0;5620000;84300;5;0;0,07;60;60;;;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1970;4
2030_old;Hydro_Small;EUR;unclear;0;0;inf;0;5620000;84300;5;0;0,07;60;60;;;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1990;8
2030_old;Lignite;EUR;unclear;0;0;0,6;0,4;2000000;50000;4,5;90;0,07;40;40;;;0;1;0,45;1;0;0,02;0,02;1;1;5;0,04;0,12;1;130;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2030_old;Lignite_CHP;EUR;unclear;0;0;0,6;0,4;2537500;76125;5;90;0,07;35;35;;;0;1;0,45;1;0;0,02;0,02;1;1;5;0,04;0,12;1;130;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2030_old;Liquid biofuels;EUR;unclear;0;0;3;0;850000;21250;2;40;0,07;30;30;;;0;1;0,4;1;0;0,05;0,05;1;1;5;0,3;1;1;20;0,7;0,7;0;0;0;1;0;1;0;0;2000;5
2030_old;Nuclear;EUR;unclear;0;0;0,3;0,5;4100000;77900;2,5;1000;0,07;60;60;;;0;1;0,45;1;0;0,04;0,04;1;1;5;0,03;0,1;1;100;0,45;0,45;0;0;0;1;0;1;0;0;1970;4
2030_old;OilOther;EUR;unclear;0;0;3;0,12;850000;21250;2;40;0,07;30;30;;;0;1;0,4;1;0;0,05;0,05;1;1;5;0,3;1;1;20;0,7;0,7;0;0;0;1;0;1;0;0;1990;8
2030_old;OilOther_CHP;EUR;unclear;0;0;3;0,12;1078438;32354;4;40;0,07;30;30;;;0;1;0,4;1;0;0,05;0,05;1;1;5;0,3;1;1;20;0,7;0,7;0;0;0;1;0;1;0;0;1990;8
2030_old;Shunt;EUR;unclear;0;999999;inf;0;0;0;0;0;0,07;1;999;;;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2030;0
2030_old;Slack;EUR;unclear;0;999999;inf;0;0;0;0;0;0,07;1;999;;;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2030;0
2030_old;Solar;EUR;unclear;0;inf;inf;0;640000;10880;0;0;0,07;25;25;;;14000;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2009;2
2030_old;Tidal;EUR;unclear;0;0;inf;0;3100000;105400;0;0;0,07;20;20;;;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2009;2
2030_old;Waste;EUR;unclear;0;0;1,2;0;5240000;157200;7;0;0,07;25;25;;;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2000;5
2030_old;WindOff;EUR;unclear;0;inf;inf;0;2580000;77400;0;0;0,07;25;25;;;125000;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2009;2
2030_old;WindOn;EUR;unclear;0;inf;inf;0;1300000;28600;0;0;0,07;25;25;;;125000;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2006;3
2040_old;Bioenergy;EUR;unclear;0;0;1,2;0,2;2150000;47300;3,5;0;0,07;25;25;;;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2000;5
2040_old;Biogas;EUR;unclear;0;0;4,8;0,79;850000;21250;2;40;0,07;30;30;;;0;1;0,3;1;0;0,05;0,05;1;1;5;0,1;0,2;1;60;0,5;0,5;0;0;0;1;0;1;0;0;2000;5
2040_old;Biomass;EUR;unclear;0;0;1,2;0,2;2150000;47300;3,5;0;0,07;25;25;;;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2000;5
2040_old;Coal;EUR;unclear;0;0;0,6;0,4;1600000;40000;3,6;90;0,07;40;40;;;0;1;0,4;1;0;0,03;0,03;1;1;5;0,06;0,15;1;110;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2040_old;Coal_CHP;EUR;unclear;0;0;0,6;0,4;2030000;60900;5;90;0,07;35;35;;;0;1;0,4;1;0;0,03;0,03;1;1;5;0,06;0,15;1;110;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2040_old;Gas;EUR;unclear;0;inf;4,8;0,2;850000;21250;2;40;0,07;30;30;;;0;1;0,3;1;0;0,05;0,05;1;1;5;0,1;0,2;1;60;0,5;0,5;0;0;0;1;0;1;0;0;1990;8
2040_old;Gas_CHP;EUR;unclear;0;0;4,8;0,2;980000;38220;4;40;0,07;30;30;;;0;1;0,3;1;0;0,05;0,05;1;1;5;0,1;0,2;1;60;0,5;0,5;0;0;0;1;0;1;0;0;1990;8
2040_old;Geothermal;EUR;unclear;0;0;0,6;0;4020000;80400;0;0;0,07;30;30;;;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1990;8
2040_old;Hydro;EUR;unclear;0;0;inf;0;5620000;84300;5;0;0,07;60;60;;;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1970;4
2040_old;Hydro_Large;EUR;unclear;0;0;inf;0;5620000;84300;5;0;0,07;60;60;;;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1970;4
2040_old;Hydro_Small;EUR;unclear;0;0;inf;0;5620000;84300;5;0;0,07;60;60;;;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1990;8
2040_old;Lignite;EUR;unclear;0;0;0,6;0,4;2000000;50000;4,5;90;0,07;40;40;;;0;1;0,45;1;0;0,02;0,02;1;1;5;0,04;0,12;1;130;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2040_old;Lignite_CHP;EUR;unclear;0;0;0,6;0,4;2537500;76125;5;90;0,07;35;35;;;0;1;0,45;1;0;0,02;0,02;1;1;5;0,04;0,12;1;130;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2040_old;Liquid biofuels;EUR;unclear;0;0;3;0;850000;21250;2;40;0,07;30;30;;;0;1;0,4;1;0;0,05;0,05;1;1;5;0,3;1;1;20;0,7;0,7;0;0;0;1;0;1;0;0;2000;5
2040_old;Nuclear;EUR;unclear;0;0;0,3;0,5;3800000;64600;2,5;1000;0,07;60;60;;;0;1;0,45;1;0;0,04;0,04;1;1;5;0,03;0,1;1;100;0,45;0,45;0;0;0;1;0;1;0;0;1970;4
2040_old;OilOther;EUR;unclear;0;0;3;0,12;850000;21250;2;40;0,07;30;30;;;0;1;0,4;1;0;0,05;0,05;1;1;5;0,3;1;1;20;0,7;0,7;0;0;0;1;0;1;0;0;1990;8
2040_old;OilOther_CHP;EUR;unclear;0;0;3;0,12;1078438;32354;4;40;0,07;30;30;;;0;1;0,4;1;0;0,05;0,05;1;1;5;0,3;1;1;20;0,7;0,7;0;0;0;1;0;1;0;0;1990;8
2040_old;Shunt;EUR;unclear;0;999999;inf;0;0;0;0;0;0,07;1;999;;;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2040;0
2040_old;Slack;EUR;unclear;0;999999;inf;0;0;0;0;0;0,07;1;999;;;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2040;0
2040_old;Solar;EUR;unclear;0;inf;inf;0;580000;9860;0;0;0,07;25;25;;;14000;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2009;2
2040_old;Tidal;EUR;unclear;0;0;inf;0;2100000;71400;0;0;0,07;20;20;;;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2009;2
2040_old;Waste;EUR;unclear;0;0;1,2;0;4870000;146100;7;0;0,07;25;25;;;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2000;5
2040_old;WindOff;EUR;unclear;0;inf;inf;0;2380000;66640;0;0;0,07;25;25;;;125000;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2009;2
2040_old;WindOn;EUR;unclear;0;inf;inf;0;1200000;22800;0;0;0,07;25;25;;;125000;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2006;3
2050_old;Bioenergy;EUR;unclear;0;0;1,2;0;1950000;42900;3,5;0;0,07;25;25;;;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2000;5
2050_old;Biogas;EUR;unclear;0;0;4,8;0;850000;21250;2;40;0,07;30;30;;;0;1;0,3;1;0;0,05;0,05;1;1;5;0,1;0,2;1;60;0,5;0,5;0;0;0;1;0;1;0;0;2000;5
2050_old;Biomass;EUR;unclear;0;0;1,2;0;1950000;42900;3,5;0;0,07;25;25;;;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2000;5
2050_old;Coal;EUR;unclear;0;0;0,6;0;1600000;40000;3,6;90;0,07;40;40;;;0;1;0,4;1;0;0,03;0,03;1;1;5;0,06;0,15;1;110;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2050_old;Coal_CHP;EUR;unclear;0;0;0,6;0,4;2030000;60900;5;90;0,07;35;35;;;0;1;0,4;1;0;0,03;0,03;1;1;5;0,06;0,15;1;110;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2050_old;Gas;EUR;unclear;0;inf;4,8;0;850000;21250;2;40;0,07;30;30;;;0;1;0,3;1;0;0,05;0,05;1;1;5;0,1;0,2;1;60;0,5;0,5;0;0;0;1;0;1;0;0;1990;8
2050_old;Gas_CHP;EUR;unclear;0;0;4,8;0,2;970000;37830;4;40;0,07;30;30;;;0;1;0,3;1;0;0,05;0,05;1;1;5;0,1;0,2;1;60;0,5;0,5;0;0;0;1;0;1;0;0;1990;8
2050_old;Geothermal;EUR;unclear;0;0;0,6;0;3610000;79420;0;0;0,07;30;30;;;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1990;8
2050_old;Hydro;EUR;unclear;0;0;inf;0;5620000;84300;5;0;0,07;60;60;;;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1970;4
2050_old;Hydro_Large;EUR;unclear;0;0;inf;0;5620000;84300;5;0;0,07;60;60;;;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1970;4
2050_old;Hydro_Small;EUR;unclear;0;0;inf;0;5620000;84300;5;0;0,07;60;60;;;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1990;8
2050_old;Lignite;EUR;unclear;0;0;0,6;0;2000000;50000;4,5;90;0,07;40;40;;;0;1;0,45;1;0;0,02;0,02;1;1;5;0,04;0,12;1;130;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2050_old;Lignite_CHP;EUR;unclear;0;0;0,6;0,4;2537500;76125;5;90;0,07;35;35;;;0;1;0,45;1;0;0,02;0,02;1;1;5;0,04;0,12;1;130;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2050_old;Liquid biofuels;EUR;unclear;0;0;3;0;850000;21250;2;40;0,07;30;30;;;0;1;0,4;1;0;0,05;0,05;1;1;5;0,3;1;1;20;0,7;0,7;0;0;0;1;0;1;0;0;2000;5
2050_old;Nuclear;EUR;unclear;0;0;0,3;0;3750000;60000;2,5;1000;0,07;60;60;;;0;1;0,45;1;0;0,04;0,04;1;1;5;0,03;0,1;1;100;0,45;0,45;0;0;0;1;0;1;0;0;1970;4
2050_old;OilOther;EUR;unclear;0;0;3;0;850000;21250;2;40;0,07;30;30;;;0;1;0,4;1;0;0,05;0,05;1;1;5;0,3;1;1;20;0,7;0,7;0;0;0;1;0;1;0;0;1990;8
2050_old;OilOther_CHP;EUR;unclear;0;0;3;0,12;1078438;32354;4;40;0,07;30;30;;;0;1;0,4;1;0;0,05;0,05;1;1;5;0,3;1;1;20;0,7;0,7;0;0;0;1;0;1;0;0;1990;8
2050_old;Shunt;EUR;unclear;0;999999;inf;0;0;0;0;0;0,07;1;999;;;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2050;0
2050_old;Slack;EUR;unclear;0;999999;inf;0;0;0;0;0;0,07;1;999;;;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2050;0
2050_old;Solar;EUR;unclear;0;inf;inf;0;520000;8840;0;0;0,07;25;25;;;14000;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2009;2
2050_old;Tidal;EUR;unclear;0;0;inf;0;1900000;64600;0;0;0,07;20;20;;;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2009;2
2050_old;Waste;EUR;unclear;0;0;1,2;0;4540000;136200;7;0;0,07;25;25;;;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2000;5
2050_old;WindOff;EUR;unclear;0;inf;inf;0;2280000;52440;0;0;0,07;25;25;;;125000;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2009;2
2050_old;WindOn;EUR;unclear;0;inf;inf;0;1100000;18700;0;0;0,07;25;25;;;125000;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2006;3
